Genre,Name,Platform,Publisher,Year,EU Sales,Global Sales,JP Sales,NA Sales,Other Sales,Rank
Sports,Wii Sports,Wii,Nintendo,2006,29.02,82.74,3.77,41.49,8.46,1
Platform,Super Mario Bros.,NES,Nintendo,1985,3.58,40.24,6.81,29.08,0.77,2
Racing,Mario Kart Wii,Wii,Nintendo,2008,12.88,35.82,3.79,15.85,3.31,3
Sports,Wii Sports Resort,Wii,Nintendo,2009,11.01,33,3.28,15.75,2.96,4
Role-Playing,Pokemon Red/Pokemon Blue,GB,Nintendo,1996,8.89,31.37,10.22,11.27,1,5
Puzzle,Tetris,GB,Nintendo,1989,2.26,30.26,4.22,23.2,0.58,6
Platform,New Super Mario Bros.,DS,Nintendo,2006,9.23,30.01,6.5,11.38,2.9,7
Misc,Wii Play,Wii,Nintendo,2006,9.2,29.02,2.93,14.03,2.85,8
Platform,New Super Mario Bros. Wii,Wii,Nintendo,2009,7.06,28.62,4.7,14.59,2.26,9
Shooter,Duck Hunt,NES,Nintendo,1984,0.63,28.31,0.28,26.93,0.47,10
Simulation,Nintendogs,DS,Nintendo,2005,11,24.76,1.93,9.07,2.75,11
Racing,Mario Kart DS,DS,Nintendo,2005,7.57,23.42,4.13,9.81,1.92,12
Role-Playing,Pokemon Gold/Pokemon Silver,GB,Nintendo,1999,6.18,23.1,7.2,9,0.71,13
Sports,Wii Fit,Wii,Nintendo,2007,8.03,22.72,3.6,8.94,2.15,14
Sports,Wii Fit Plus,Wii,Nintendo,2009,8.59,22,2.53,9.09,1.79,15
Misc,Kinect Adventures!,X360,Microsoft Game Studios,2010,4.94,21.82,0.24,14.97,1.67,16
Action,Grand Theft Auto V,PS3,Take-Two Interactive,2013,9.27,21.4,0.97,7.01,4.14,17
Action,Grand Theft Auto: San Andreas,PS2,Take-Two Interactive,2004,0.4,20.81,0.41,9.43,10.57,18
Platform,Super Mario World,SNES,Nintendo,1990,3.75,20.61,3.54,12.78,0.55,19
